dataset id	tissue	time point	biological replicate
CrDB000062	brain	3 months	1
CrDB000063	brain	3 months	2
CrDB000068	brain	3 months	3
CrDB000069	brain	3 months	4
CrDB000070	brain	5 months	1
CrDB000071	brain	5 months	2
CrDB000072	brain	5 months	3
CrDB000073	brain	5 months	4
CrDB000074	brain	10 months	1
CrDB000075	brain	10 months	2
CrDB000076	brain	10 months	3
CrDB000077	brain	10 months	4
CrDB000078	brain	18 months	1
CrDB000079	brain	18 months	2
CrDB000080	brain	24 months	1
CrDB000081	brain	24 months	2
CrDB000082	heart	3 months	1
CrDB000083	heart	3 months	2
CrDB000084	heart	3 months	3
CrDB000085	heart	3 months	4
CrDB000086	heart	5 months	1
CrDB000087	heart	5 months	2
CrDB000088	heart	5 months	3
CrDB000089	heart	5 months	4
CrDB000090	heart	10 months	1
CrDB000091	heart	10 months	2
CrDB000092	heart	10 months	3
CrDB000093	heart	10 months	4
CrDB000094	heart	18 months	1
CrDB000095	heart	18 months	2
CrDB000096	heart	24 months	1
CrDB000097	heart	24 months	2
CrDB000098	liver	3 months	1
CrDB000099	liver	3 months	2
CrDB000100	liver	3 months	3
CrDB000101	liver	3 months	4
CrDB000102	liver	5 months	1
CrDB000103	liver	5 months	2
CrDB000104	liver	5 months	3
CrDB000105	liver	5 months	4
CrDB000106	liver	10 months	1
CrDB000107	liver	10 months	2
CrDB000108	liver	10 months	3
CrDB000109	liver	10 months	4
CrDB000110	liver	18 months	1
CrDB000111	liver	18 months	2
CrDB000112	liver	24 months	1
CrDB000113	liver	24 months	2
CrDB000114	kidney	3 months	1
CrDB000115	kidney	3 months	2
CrDB000116	kidney	3 months	3
CrDB000117	kidney	3 months	4
CrDB000118	kidney	5 months	1
CrDB000119	kidney	5 months	2
CrDB000120	kidney	5 months	3
CrDB000121	kidney	5 months	4
CrDB000122	kidney	10 months	1
CrDB000123	kidney	10 months	2
CrDB000124	kidney	10 months	3
CrDB000125	kidney	10 months	4
CrDB000126	kidney	18 months	1
CrDB000127	kidney	18 months	2
CrDB000128	kidney	24 months	1
CrDB000129	kidney	24 months	2
